LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
1,Petróleos Mexicanos,Petróleo y gas,México,"1,672,673.00","(780,588.00)","(15,989.90)","2,208,752.60","4,192,528.30","129,198",39.3,ndndnd1532530.,30
2,Walmart de México y Centroamérica,Comercio autoservicio,Estados Unidos,"958,507.00","53,827.00","77,359.00","493,893.00","261,017.00","241,172",23.1,12542104405,50
3,América Móvil,Telecomunicaciones,México,"869,220.60","32,997.60","180,100.10","1,806,543.40","1,369,849.30","178,466",7.6,ndndnd14321.4nd,0
4,FEMSA,Holding,México,"781,585.00","40,236.00","70,668.00","851,536.00","470,405.00","388,000",10.6,7114156404,50
5,Comisión Federal de Electricidad,Electricidad y energía,México,"667,244.30","(271,574.00)","157,038.10","2,651,005.00","2,099,497.70","88,727",(49.2),ndndnd14321.424.,80
6,General Motors de México,Armadora,Estados Unidos,"654,000.00",n.d.,n.d.,n.d.,n.d.,"28,264",n.d.,2762217529.431.,80
7,BBVA México,Servicios financieros,España,"522,704.00","107,422.00","148,120.00","3,822.00","3,390.00","47,544",24.9,1121818316.75,11
8,Grupo Financiero Banorte,Servicios financieros,México,"506,969.00","52,418.00","69,561.00","2,471,209.00","2,222,781.00","30,908",21.1,1301213430.850.9,-1
9,Grupo Bimbo,Alimentos y bebidas,México,"408,335.00","12,544.00","33,149.00","416,804.00","289,106.00","152,366",9.8,100018527.82,40
10,Stellantis México,Armadora,Países Bajos,"377,970.00",n.d.,n.d.,n.d.,n.d.,"16,000",n.d.,ndndndndndndnd,0
11,Grupo BAL,Holding,México,"371,523.80","17,941.80","37,157.10","768,264.10","528,101.20","47,683",7.5,ndndndndndnd1,50
12,FEMSA Comercio (Oxxo),Comercio autoservicio,México,"307,197.00",n.d.,"29,216.00",n.d.,n.d.,"190,000",n.d.,ndndndndndnd6,2
13,Ford de México,Armadora,Estados Unidos,"306,694.00",n.d.,n.d.,n.d.,n.d.,"14,661",n.d.,ndndndndndnd3,0
14,Cemex,Cemento,México,"296,946.00","17,600.60","33,373.10","500,388.20","271,688.90","44,494",7.7,17804092313216.716,-2
15,Grupo México,Holding,México,"296,385.00","71,031.00","124,284.00","709,398.00","272,901.00","31,876",16.7,822514009.,14
16,Toyota Motor de México,Armadora,Japón,"290,000.00",n.d.,n.d.,n.d.,n.d.,"3,500",n.d.,ndndndndndndnd,-1
17,Grupo Comercial Chedraui,Comercio autoservicio,México,"281,761.50","6,819.00","15,069.70","168,267.30","115,918.10","74,369",13.0,ndndnd13215.44,70
18,Grupo Salinas,Holding,México,"280,827.40","(18,653.70)","21,367.40","563,377.30","484,191.30","89,961",(23.6),ndndndndndndnd,0
19,Coca-Cola FEMSA,Alimentos y bebidas,México,"279,793.20","24,548.80","39,916.20","307,986.30","157,444.70","116,719",16.3,13639292462516.,31
20,Nissan Mexicana,Armadora,Japón,"270,704.00",n.d.,"12,012.00",n.d.,n.d.,"23,061",n.d.,1022056610.719.,12
21,Grupo Coppel,Comercio departamental,México,"269,863.00",n.d.,n.d.,n.d.,n.d.,"118,865",n.d.,1343112216.754.6,-5
22,Banco Santander México,Servicios financieros,España,"247,886.00","28,821.00","39,404.00","2,004,000.00","1,851,000.00","25,589",18.8,164251642556,-1
23,Arca Continental,Alimentos y bebidas,México,"237,004.00","23,799.00","39,151.00","292,636.00","118,731.00","70,400",13.7,111921314.312.,41
24,HEINEKEN México,Bebidas alcohólicas y tabaco,Países Bajos,"228,000.00",n.d.,"40,000.00",n.d.,n.d.,"17,881",n.d.,93339333.31,96
25,Americas Mining Corporation,Minería,México,"227,231.30","57,899.80","103,118.80","399,804.60","180,811.60",n.d.,29.1,ndndndndndndnd,3
26,Volkswagen de México,Armadora,Alemania,"223,759.00","2,411.00","8,572.00","127,048.00","72,410.00","12,856",4.4,445117114.317.4,-3
27,Infonavit,Servicios financieros,México,"218,190.20","37,025.60","82,070.30","2,505,341.40","2,204,711.90","5,456",12.3,ndndndndndndnd,-2
28,Liverpool,Comercio departamental,México,"214,848.00","23,154.00","31,854.00","289,729.00","111,016.00","81,394",13.6,112181532061.1,-1
29,KIA México,Armadora,Corea,"210,000.00",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndnd33.,30
30,Grupo Carso,Holding,México,"202,983.40","17,345.10","23,682.00","281,561.40","120,408.10","90,533",10.8,ndndnd1616.341,-4
31,Grupo Elektra,Holding,México,"201,297.00","(11,153.40)","17,523.40","479,257.30","398,726.30","71,278",(13.8),ndnd26700nd,0
32,Sam's Club,Comercio autoservicio,Estados Unidos,"189,869.30",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,0
33,Organización Soriana,Comercio autoservicio,México,"179,112.00","3,909.00","8,664.00","156,852.00","74,237.00","90,795",4.7,611714321.450.,30
34,Alfa,Holding,México,"163,242.70",234.30,"12,339.40","236,315.90","192,141.30","53,521",0.5,ndnd271317.73,81
35,Ternium,Siderurgia y metalurgia,Luxemburgo,"162,433.00",711.00,"8,848.00","202,741.00","39,278.00","10,581",0.4,161682259.3,-1
36,Sigma Alimentos,Alimentos y bebidas,México,"160,938.30","6,495.10","14,244.30","110,427.20","88,698.90","47,461",29.9,ndndnd9004,10
37,Grupo Financiero Inbursa,Servicios financieros,México,"147,993.60","34,464.20","42,520.00","822,560.00","561,350.00","3,763",13.2,79121517317.650.,44
38,Banobras,Servicios financieros,México,"145,256.00","1,840.00",(477.00),"1,193,901.00","1,085,631.00","1,031",1.7,1343112433.34,71
39,Jabil,Tecnología diversificada,Estados Unidos,"143,000.00",n.d.,n.d.,n.d.,n.d.,"31,854",n.d.,112189222.253.,21
40,Grupo Modelo AB-InBev,Bebidas alcohólicas y tabaco,Bélgica,"139,128.00",n.d.,n.d.,n.d.,n.d.,"44,129",n.d.,ndndndndndndnd,6
41,Orbia Advance Corporation,Holding,México,"137,585.00","4,088.00","8,047.00","202,675.00","148,051.00","23,286",7.5,102201232520,-4
42,Alpek,Química y petroquímica,México,"137,409.50",(212.00),"5,170.30","116,716.80","83,212.30","5,514",(0.6),ndndnd1317.7nd,-4
43,Grupo Financiero HSBC,Servicios financieros,Reino Unido,"129,232.00","8,403.00","12,446.00","968,266.00","882,437.00","13,320",9.8,922729102207.,56
44,Flextronics Manufacturing Mex,Tecnología diversificada,Estados Unidos,"126,500.00",n.d.,n.d.,n.d.,n.d.,"39,735",n.d.,152139222.25,10
45,PepsiCo Alimentos México,Alimentos y bebidas,Estados Unidos,"122,211.00",n.d.,n.d.,n.d.,n.d.,"48,871",n.d.,ndndndndndnd28,-2
46,Industrias Peñoles,Minería,México,"121,895.90","3,810.10","19,695.60","188,236.80","84,996.30","15,613",3.7,ndndnd252813.,74
47,Corporativo Fragua,Comercio de medicamentos,México,"120,238.00","4,902.00","8,613.00","57,528.00","32,114.00","59,953",19.3,1774116637.56,31
48,Gruma,Alimentos y bebidas,México,"118,906.00","9,752.00","16,318.00","97,783.00","59,295.00","25,080",23.9,7114111930,-3
49,Grupo Xignux,Holding,México,"116,801.80","5,256.60","11,542.00","88,622.20","36,745.40","31,800",25.6,ndnd2013003,72
50,GNP Seguros,Seguros y fianzas,México,"116,497.00","3,563.00","(9,167.00)","246,024.00","227,207.00","6,975",18.9,13182214.551.,53
51,Cinépolis,Entretenimiento,México,"113,000.00",n.d.,n.d.,n.d.,n.d.,"36,000",n.d.,ndndndndndndnd,-4
52,Honda de México,Armadora,Japón,"112,026.00",n.d.,n.d.,n.d.,n.d.,"6,000",n.d.,ndndndndndndnd,0
53,Banco Azteca,Servicios financieros,México,"109,202.00","5,523.00","7,699.00","325,488.00","286,212.00","42,695",14.1,293103133.345.,92
54,Audi México,Armadora,Alemania,"105,981.00",n.d.,n.d.,n.d.,n.d.,"5,660",n.d.,30030016.6,-12
55,Iberdrola México,Electricidad y energía,España,"105,692.40",n.d.,n.d.,"77,200.20","40,372.20",835,n.d.,ndndndndndndnd,34
56,Grupo Aeroméxico,Aerolíneas,México,"103,012.80","11,318.80","19,552.60","117,011.40","128,804.90","16,219",(66.8),ndnd1412003,75
57,Grupo Lala,Alimentos y bebidas,México,"100,676.80","2,730.80","7,858.10","66,596.60","54,735.70","39,557",23.0,ndnd09111.121,-3
58,Grupo Bachoco,Agroindustria,México,"99,343.00","9,256.00","10,696.00","78,649.00","29,536.00","40,272",18.8,ndndnd17002,77
59,Magna International México,Automotriz y autopartes,Canadá,"98,358.80",n.d.,n.d.,"29,969.60",n.d.,n.d.,n.d.,ndndndndndndnd,1
60,Grupo Financiero Scotiabank Inverlat,Servicios financieros,Canadá,"95,607.00","12,156.00","15,884.00","941,997.00","846,225.00","9,620",12.7,173181044051,-2
61,Costco de México,Comercio autoservicio,Estados Unidos,"94,500.00",n.d.,n.d.,n.d.,n.d.,"12,000",n.d.,ndndndndndndnd,-5
